ID,LTV,CLTV,Orig_Bal,Orig_Date,Orig_Term,Orig_Rate,State,FICO,Occupancy,Type
4647,90,90,521100,31-08-2006,360,8.99,NY,671,Owner Occupied,ARM
283,80,100,520000,08-09-2006,360,6.5,CA,684,Owner Occupied,ARM
870,80,100,520000,31-08-2006,480,7.6,FL,644,Owner Occupied,ARM
1587,80,100,520000,11-08-2006,480,8.9,CA,635,Owner Occupied,ARM
2165,80,100,520000,18-08-2006,360,8.55,CA,650,Owner Occupied,ARM
3820,80,100,520000,28-08-2006,360,6.65,CA,643,Owner Occupied,ARM
4896,80,100,520000,05-09-2006,360,7.99,CA,642,Owner Occupied,ARM
782,85,85,518500,30-08-2006,360,8.25,IL,630,Owner Occupied,ARM
187,80,100,518400,25-08-2006,480,7.75,CA,723,Owner Occupied,ARM
2731,90,100,517500,18-08-2006,360,10.55,FL,571,Owner Occupied,ARM
3069,90,90,517500,30-08-2006,480,9.55,CA,550,Investor Owned,ARM
4279,90,90,517500,24-07-2006,360,6.99,CA,625,Owner Occupied,ARM
1401,80,100,516000,21-08-2006,480,7.3,CA,617,Owner Occupied,ARM
2248,80,100,516000,31-08-2006,360,8.55,CA,710,Owner Occupied,ARM
2889,90,90,515700,10-08-2006,360,10.35,IL,590,Owner Occupied,ARM
2660,79.23,79.23,515000,16-08-2006,360,7.4,NY,547,Owner Occupied,Fix
2781,82.4,82.4,515000,09-08-2006,480,7.25,MA,568,Owner Occupied,Fix
3950,77.84,77.84,513750,31-07-2006,480,6.99,HI,583,Owner Occupied,Fix
3829,90,90,513000,31-08-2006,360,6.5,CA,684,Owner Occupied,ARM
3316,90,90,512131,31-08-2006,360,7.775,FL,557,Owner Occupied,ARM
1708,80,100,512000,24-08-2006,480,7.15,NY,692,Owner Occupied,Fix
3086,80,100,512000,23-08-2006,480,7.55,CA,679,Owner Occupied,ARM
3522,60.24,60.24,512000,18-08-2006,360,7.55,FL,632,Owner Occupied,ARM
1151,93,100,511500,31-08-2006,360,9.962,WA,545,Owner Occupied,ARM
4861,70,70,511000,30-08-2006,360,9.8,CA,510,Owner Occupied,ARM
364,80,99.83,510880,05-09-2006,360,7.975,CA,603,Owner Occupied,ARM
3206,85,85,510000,17-08-2006,360,7.99,CA,652,Owner Occupied,ARM
96,80,100,508000,13-06-2006,480,7.9,CA,629,Owner Occupied,ARM
2268,80,100,508000,31-08-2006,480,7.85,NY,649,Owner Occupied,ARM
4007,80,100,508000,29-08-2006,480,8.2,CA,650,Owner Occupied,ARM
4882,80,100,508000,05-09-2006,360,8.05,CA,649,Owner Occupied,ARM
873,74.67,94.58,506250,28-08-2006,360,7.64,MD,653,Owner Occupied,Fix
1164,86.33,86.33,505000,01-09-2006,360,7.875,NY,687,Owner Occupied,Fix
3039,82.11,82.11,505000,22-08-2006,360,7.2,CA,611,Owner Occupied,ARM
1369,80,100,504000,29-08-2006,480,7.99,CA,690,Owner Occupied,ARM
1677,80,100,504000,21-08-2006,360,7.25,CA,623,Owner Occupied,ARM
1751,80,100,504000,31-08-2006,480,7.95,CA,697,Owner Occupied,ARM
1839,80,100,504000,25-08-2006,480,7.5,CA,699,Owner Occupied,ARM
2093,80,100,504000,11-09-2006,480,7.99,CA,676,Owner Occupied,ARM
2304,80,100,504000,22-08-2006,360,6.95,CA,638,Owner Occupied,ARM
2533,80,100,504000,30-08-2006,480,7.65,CA,662,Owner Occupied,ARM
3411,80,100,504000,22-08-2006,480,8.9,IL,640,Owner Occupied,ARM
3572,80,100,504000,25-08-2006,360,7.1,CA,671,Owner Occupied,ARM
3973,80,99.84,504000,31-08-2006,480,9.9,CA,528,Owner Occupied,ARM
1383,95,95,503500,28-07-2006,360,7,MA,617,Owner Occupied,ARM
668,90,90,502200,15-08-2006,360,7.85,UT,642,Owner Occupied,Fix
1410,85,85,501500,18-08-2006,480,7.95,CA,564,Owner Occupied,ARM
3333,85,85,501500,05-09-2006,480,8.795,NY,557,Owner Occupied,Fix
3576,90,90,501300,23-08-2006,480,9.25,CA,660,Owner Occupied,ARM
101,80,100,500000,30-08-2006,480,7.75,CA,660,Owner Occupied,ARM
639,80,100,500000,28-08-2006,360,7.45,CA,682,Owner Occupied,ARM
1031,80,80,500000,31-08-2006,360,9.05,OR,684,Investor Owned,ARM
1737,80,80,500000,17-08-2006,360,9.65,UT,690,Investor Owned,ARM
2182,80,100,500000,31-08-2006,480,7.7,NY,648,Owner Occupied,ARM
2415,64.52,64.52,500000,05-09-2006,480,9.95,CA,532,Investor Owned,ARM
2641,79.37,79.37,500000,15-08-2006,360,7.65,CA,576,Owner Occupied,ARM
191,79.37,79.37,499999,10-08-2006,360,7.2,AZ,604,Owner Occupied,ARM
570,84.29,84.29,499999,25-07-2006,360,7.25,CA,682,Owner Occupied,Fix
602,91.24,91.24,499999,27-06-2006,360,9.35,NJ,581,Owner Occupied,ARM
2699,85.47,85.47,499999,05-09-2006,480,8.99,SC,652,Owner Occupied,ARM
3922,78.74,78.74,499999,29-08-2006,480,10,CO,585,Investor Owned,ARM
4093,82.84,95.55,499999,27-04-2006,360,7.125,CA,706,Owner Occupied,Fix
4166,83.33,83.33,499999,08-09-2006,360,8.99,CA,574,Investor Owned,ARM
4317,89.27,89.27,499900,01-09-2006,360,7.5,LA,635,Owner Occupied,Fix
4448,68.95,68.95,499900,31-08-2006,360,8.5,IL,503,Owner Occupied,ARM
3505,90,90,499500,25-08-2006,360,10.7,UT,712,Investor Owned,ARM
1101,91.56,91.56,499000,25-08-2006,360,7.99,NJ,687,Owner Occupied,ARM
1688,95,95,498750,18-08-2006,480,8.05,CT,668,Owner Occupied,Fix
4198,95,95,498750,07-09-2006,360,9.95,CA,714,Owner Occupied,ARM
4186,50.51,51.32,498000,01-09-2006,360,6,CA,796,Owner Occupied,Fix
2983,90,90,497610,24-08-2006,360,7.125,FL,701,Owner Occupied,Fix
2882,80,100,497600,17-08-2006,360,8.1,CA,614,Owner Occupied,ARM
2255,85,85,497250,22-08-2006,360,8.2,CA,535,Owner Occupied,ARM
2023,83.53,83.53,497000,17-08-2006,480,7.5,NY,668,Owner Occupied,ARM
2257,60.98,60.98,497000,22-08-2006,360,8.25,CA,541,Owner Occupied,ARM
4503,80,100,495200,29-08-2006,360,7.725,CA,646,Owner Occupied,ARM
974,90,90,495000,28-08-2006,360,9.75,CA,611,Owner Occupied,ARM
1282,83.9,83.9,495000,18-08-2006,480,7.95,CA,564,Owner Occupied,ARM
1319,86.09,86.09,495000,30-05-2006,360,7.95,IL,604,Owner Occupied,ARM
1527,90,90,495000,05-09-2006,360,8.2,NJ,665,Investor Owned,ARM
1844,60.37,60.37,495000,06-09-2006,360,8.15,HI,598,Owner Occupied,ARM
2190,74.44,74.44,495000,28-08-2006,480,7.99,NY,629,Owner Occupied,Fix
2984,90,90,495000,14-08-2006,360,10.2,FL,625,Owner Occupied,ARM
2995,90,90,495000,05-09-2006,360,9.15,NY,615,Owner Occupied,ARM
3104,90,90,495000,30-08-2006,360,8.15,CA,655,Owner Occupied,ARM
3858,90,90,495000,01-09-2006,360,7.9,NY,665,Investor Owned,Fix
3984,90,90,495000,05-09-2006,360,8.5,CA,558,Owner Occupied,ARM
4156,90,90,495000,31-08-2006,360,6.65,NY,614,Owner Occupied,ARM
4603,90,90,495000,24-08-2006,360,8.55,CA,663,Owner Occupied,ARM
4814,94.29,94.29,495000,01-09-2006,480,8.35,NY,630,Owner Occupied,Fix
4468,86.75,86.75,494500,14-07-2006,360,8.5,CA,537,Owner Occupied,ARM
4204,90,90,494100,17-08-2006,360,10.35,UT,695,Investor Owned,ARM
4438,95,95,494000,31-08-2006,480,7.99,CA,670,Owner Occupied,ARM
486,85,85,493000,23-08-2006,480,8.7,CA,572,Owner Occupied,ARM
1713,79.48,79.48,492750,11-08-2006,360,7.5,CA,531,Owner Occupied,ARM
2918,90,90,492300,17-07-2006,360,7.547,MD,604,Owner Occupied,ARM
4299,65,65,492050,07-09-2006,360,6.05,MN,759,Owner Occupied,Fix
473,80,100,492000,24-08-2006,480,7.45,CA,686,Owner Occupied,ARM
2130,80,100,492000,05-09-2006,360,7.55,CA,655,Owner Occupied,ARM
3033,80,100,492000,22-08-2006,360,6.95,CA,623,Owner Occupied,ARM
